student_id,question_id,question_type,question_label,score,unanswered,exam_id,exam_title,exam_start_timestamp,exam_end_timestamp
student_1,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_2,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_3,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_4,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_5,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_6,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_7,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_8,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_9,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_10,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_11,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_12,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_13,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_14,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_15,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_16,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_17,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_18,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_19,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_20,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_21,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_22,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_23,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_24,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_25,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_26,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_27,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_28,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_29,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_30,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_31,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_32,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_33,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_34,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_35,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_36,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_37,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_38,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_39,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_40,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_41,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_42,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_43,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_44,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_45,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_46,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_47,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_48,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_49,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_50,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_51,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_52,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_53,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_54,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_55,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_56,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_57,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_58,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_59,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_60,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_61,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_62,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_63,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_64,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_65,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_66,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_67,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_68,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_69,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_70,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_71,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_72,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_73,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_74,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_75,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_76,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_77,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_78,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_79,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_80,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_81,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_82,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_83,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_84,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_85,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_86,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_87,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_88,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_89,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_90,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_91,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_92,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_93,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_94,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_95,Item_1,Text entry,Logistic function,0,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_96,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_97,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_98,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_99,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_100,Item_1,Text entry,Logistic function,0,TRUE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
student_101,Item_1,Text entry,Logistic function,1,FALSE,658936,Stats 101,2022-04-27T14:00:00.000Z,2022-04-27T17:00:00.000Z
